system:index,avg_rad,.geo
112_0,0.9890167,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.55343121728939,4.498313785228504]}"
113_0,0.20582739,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.61182171075716,5.284339658833085]}"
114_0,0.19727111,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.0307868107068,4.722892606258385]}"
115_0,0.27549177,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.14756779764234,4.363566492610576]}"
116_0,0.18943612,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.25985720815729,5.315780693777269]}"
117_0,0.24901946,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.52935179339313,5.702056265948663]}"
118_0,0.22418453,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.28680666668086,4.857639898876313]}"
119_0,0.18734753,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.29578981952206,4.686959994893604]}"
120_0,4.6523576,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9695262826117,4.7004347241553965]}"
121_0,13.027563,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.06834096386486,4.84416516961452]}"
122_0,0.25037667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.56241437013058,5.374171187245038]}"
123_0,0.17705268,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.66859066243167,5.666123654583882]}"
124_0,0.19456758,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.55630125191672,4.646535807108225]}"
125_0,0.20619611,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.92461051840573,3.707796335203325]}"
126_0,0.1920614,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.05037465818246,3.8605099335036437]}"
127_0,1.5173744,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.5922338632815,5.455019562815795]}"
128_0,0.22839922,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.70614481558971,4.713909453417189]}"
129_0,0.2566438,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.47096129992536,5.652648925322089]}"
130_0,0.5267523,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.79435480220839,5.4640027156569895]}"
131_0,0.4566288,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.36927658404488,5.001370344335436]}"
132_0,0.2021982,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.89766105988214,5.7514636065752365]}"
133_0,0.49752182,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.43952026498118,5.486460597759978]}"
134_0,1.5588318,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.32436081983892,4.597128466481651]}"
135_0,0.19750102,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.2329077496337,4.933996698026472]}"
136_0,0.19141561,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.17164722153859,5.383154340086233]}"
137_0,0.25036967,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.85885841389003,3.7392373701475083]}"
138_0,0.29937294,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.80046792042226,3.9323751562332054]}"
139_0,0.19856443,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.14756779764234,4.848656746035117]}"
140_0,0.3465394,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.43665023035385,4.457889597443126]}"
141_0,0.33577722,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.5787591340197,3.7392373701475083]}"
142_0,0.35558492,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.7420774269545,4.103055060215914]}"
143_0,0.26250777,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.56690594655119,4.996878767914839]}"
144_0,0.18557599,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.09978199880904,5.760446759416432]}"
145_0,0.17609125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.80782953147019,4.345600186928185]}"
146_0,0.29935586,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.83927056641437,4.46687275028432]}"
147_0,0.16211945,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.11325672807082,3.779661557932887]}"
148_0,0.261764,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.62367489822569,5.513410056283563]}"
149_0,0.38162896,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.58936382865417,4.615094772164042]}"
150_0,4.5258193,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.25249559710934,4.5836537372198585]}"
151_0,0.2046327,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.80945107326346,3.712287911623923]}"
152_0,0.3037148,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.43215865393326,5.113659754850376]}"
153_0,0.20116775,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.21044986753071,4.273734964198623]}"
154_0,0.31386235,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.42155395929879,4.30068442272221]}"
155_0,0.17392226,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.44114180677445,5.567308973330735]}"
156_0,0.26436073,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.37825973688608,5.252898623888902]}"
157_0,0.24960023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.24638247889548,4.381532798292966]}"
158_0,0.2096307,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.01731208144501,5.459511139236392]}"
159_0,0.16891533,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.56690594655119,3.8290688985594605]}"
160_0,0.27878186,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.69554012095524,4.246785505675038]}"
161_0,0.19496712,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.2329077496337,4.916030392344082]}"
162_0,0.18190062,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.76453530905748,5.535867938386551]}"
163_0,0.1952003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.00832892860382,3.847035204241851]}"
164_0,0.21970116,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.79597634400166,4.875606204558703]}"
165_0,0.1827605,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.05486623460305,5.329255423039061]}"
166_0,0.2788785,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.80945107326346,4.534246396593285]}"
167_0,0.21847461,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.32436081983892,4.197378165048464]}"
168_0,0.5048972,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.66572062780433,4.30068442272221]}"
169_0,2.0089786,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.79435480220839,4.0087319553833645]}"
170_0,44.341606,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.12223988091202,4.56119585511687]}"
171_0,0.18847865,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.77801003831927,5.091201872747388]}"
172_0,0.1760863,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.23452929142697,5.535867938386551]}"
173_0,0.2502326,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.8947910252548,4.493822208807907]}"
174_0,0.24739112,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.05486623460305,5.154083942635755]}"
175_0,0.17763862,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.99647574113528,3.748220522988704]}"
176_0,0.15894341,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.76291376726421,4.30068442272221]}"
177_0,0.15893285,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.7808800729466,5.755955182995835]}"
178_0,0.16795325,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.09079884596784,4.116529789477707]}"
179_0,0.515378,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9919841647147,4.399499103975357]}"
180_0,0.19059218,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.81681268431139,5.7918877943606155]}"
181_0,0.6936836,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.77801003831927,4.228819199992648]}"
182_0,17.1221,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.94257682408812,4.93848827444707]}"
183_0,0.6762771,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.43053711213999,4.103055060215914]}"
184_0,0.21294786,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.21044986753071,4.960946156550058]}"
185_0,0.5193979,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.55180967549613,5.612224737536711]}"
186_0,0.4432568,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.039769963548,5.549342667648344]}"
187_0,0.324725,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.5877422868609,5.643665772480894]}"
188_0,0.21866503,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.01893362323828,5.414595375030416]}"
189_0,0.17741472,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.26884036099848,4.691451571314201]}"
190_0,0.52351767,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.46197814708417,4.130004518739501]}"
191_0,0.18502715,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.3378355491007,5.549342667648344]}"
192_0,0.19206892,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.13409306838055,4.152462400842488]}"
193_0,0.20689313,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.38562134793402,4.345600186928185]}"
194_0,0.45562348,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.52486021697254,3.9683077675979863]}"
195_0,6.8583765,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.65960750959047,4.143479248001293]}"
196_0,0.17657383,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.84987526104884,5.787396217940017]}"
197_0,0.24177605,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.7718969201054,4.857639898876313]}"
198_0,0.402816,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.70452327379644,5.526884785545357]}"
199_0,0.22619778,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.18961352722098,5.6751068074250774]}"
